feature_id,in_matrix,origin,target_body,target_frame,sep_median,sep_p90,recon_class,recommended_resolution_deg,origin_geo_baseline,sep_ratio_vs_origin,mechanism
Asc G-AZ x CE H-LON,True,Asc,CE,H-LON,3.99,21.53,marginal,3.99,10.47,0.38,atypical-investigate
Asc G-AZ x JN H-LON,True,Asc,JN,H-LON,3.99,21.54,marginal,3.99,10.47,0.38,atypical-investigate
Asc G-AZ x MA H-LON,True,Asc,MA,H-LON,3.99,21.54,marginal,3.99,10.47,0.38,atypical-investigate
Asc G-AZ x PA H-LON,True,Asc,PA,H-LON,3.99,21.51,marginal,3.99,10.47,0.38,atypical-investigate
Asc G-AZ x VS H-LON,True,Asc,VS,H-LON,3.99,21.53,marginal,3.99,10.47,0.38,atypical-investigate
EA G-AZ x CE H-LON,True,EA,CE,H-LON,2.3,14.67,marginal,2.3,10.51,0.22,atypical-investigate
EA G-AZ x JN H-LON,True,EA,JN,H-LON,2.3,14.68,marginal,2.3,10.51,0.22,atypical-investigate
EA G-AZ x MA H-LON,True,EA,MA,H-LON,2.31,14.63,marginal,2.31,10.51,0.22,atypical-investigate
EA G-AZ x PA H-LON,True,EA,PA,H-LON,2.3,14.67,marginal,2.3,10.51,0.22,atypical-investigate
EA G-AZ x VS H-LON,True,EA,VS,H-LON,2.3,14.66,marginal,2.3,10.51,0.22,atypical-investigate
Asc G-LON x CE H-LON,True,Asc,CE,H-LON,9.79,65.78,same-slate-discriminator,9.79,10.47,0.94,angle-carried
Asc G-LON x JN H-LON,True,Asc,JN,H-LON,9.79,65.79,same-slate-discriminator,9.79,10.47,0.94,angle-carried
Asc G-LON x MA H-LON,True,Asc,MA,H-LON,9.78,65.66,same-slate-discriminator,9.78,10.47,0.93,angle-carried
Asc G-LON x PA H-LON,True,Asc,PA,H-LON,9.79,65.79,same-slate-discriminator,9.79,10.47,0.94,angle-carried
Asc G-LON x VS H-LON,True,Asc,VS,H-LON,9.79,65.76,same-slate-discriminator,9.79,10.47,0.94,angle-carried
EA G-LON x CE H-LON,True,EA,CE,H-LON,9.2,77.72,same-slate-discriminator,9.2,10.51,0.88,angle-carried
EA G-LON x JN H-LON,True,EA,JN,H-LON,9.19,77.73,same-slate-discriminator,9.19,10.51,0.87,angle-carried
EA G-LON x MA H-LON,True,EA,MA,H-LON,9.2,77.66,same-slate-discriminator,9.2,10.51,0.88,angle-carried
EA G-LON x PA H-LON,True,EA,PA,H-LON,9.2,77.72,same-slate-discriminator,9.2,10.51,0.88,angle-carried
EA G-LON x VS H-LON,True,EA,VS,H-LON,9.19,77.71,same-slate-discriminator,9.19,10.51,0.87,angle-carried
MC G-LON x CE H-LON,True,MC,CE,H-LON,9.02,78.54,same-slate-discriminator,9.02,9.02,1.0,angle-carried
MC G-LON x JN H-LON,True,MC,JN,H-LON,9.01,78.54,same-slate-discriminator,9.01,9.02,1.0,angle-carried
MC G-LON x MA H-LON,True,MC,MA,H-LON,9.01,78.46,same-slate-discriminator,9.01,9.02,1.0,angle-carried
MC G-LON x PA H-LON,True,MC,PA,H-LON,9.02,78.53,same-slate-discriminator,9.02,9.02,1.0,angle-carried
MC G-LON x VS H-LON,True,MC,VS,H-LON,9.01,78.54,same-slate-discriminator,9.01,9.02,1.0,angle-carried
VX G-LON x CE H-LON,True,VX,CE,H-LON,12.29,87.52,same-slate-discriminator,12.29,12.29,1.0,angle-carried
VX G-LON x JN H-LON,True,VX,JN,H-LON,12.29,87.52,same-slate-discriminator,12.29,12.29,1.0,angle-carried
VX G-LON x MA H-LON,True,VX,MA,H-LON,12.3,87.46,same-slate-discriminator,12.3,12.29,1.0,angle-carried
VX G-LON x PA H-LON,True,VX,PA,H-LON,12.29,87.52,same-slate-discriminator,12.29,12.29,1.0,angle-carried
VX G-LON x VS H-LON,True,VX,VS,H-LON,12.29,87.51,same-slate-discriminator,12.29,12.29,1.0,angle-carried
Asc G-RA x CE H-LON,True,Asc,CE,H-LON,9.79,64.26,same-slate-discriminator,9.79,10.47,0.94,angle-carried
Asc G-RA x JN H-LON,True,Asc,JN,H-LON,9.79,64.27,same-slate-discriminator,9.79,10.47,0.94,angle-carried
Asc G-RA x MA H-LON,True,Asc,MA,H-LON,9.77,64.2,same-slate-discriminator,9.77,10.47,0.93,angle-carried
Asc G-RA x PA H-LON,True,Asc,PA,H-LON,9.79,64.27,same-slate-discriminator,9.79,10.47,0.94,angle-carried
Asc G-RA x VS H-LON,True,Asc,VS,H-LON,9.79,64.24,same-slate-discriminator,9.79,10.47,0.94,angle-carried
EA G-RA x CE H-LON,True,EA,CE,H-LON,9.17,79.05,same-slate-discriminator,9.17,10.51,0.87,angle-carried
EA G-RA x JN H-LON,True,EA,JN,H-LON,9.17,79.02,same-slate-discriminator,9.17,10.51,0.87,angle-carried
EA G-RA x MA H-LON,True,EA,MA,H-LON,9.14,78.99,same-slate-discriminator,9.14,10.51,0.87,angle-carried
EA G-RA x PA H-LON,True,EA,PA,H-LON,9.17,79.05,same-slate-discriminator,9.17,10.51,0.87,angle-carried
EA G-RA x VS H-LON,True,EA,VS,H-LON,9.16,79.03,same-slate-discriminator,9.16,10.51,0.87,angle-carried
MC G-RA x CE H-LON,True,MC,CE,H-LON,9.17,79.04,same-slate-discriminator,9.17,9.02,1.02,angle-carried
MC G-RA x JN H-LON,True,MC,JN,H-LON,9.17,79.02,same-slate-discriminator,9.17,9.02,1.02,angle-carried
MC G-RA x MA H-LON,True,MC,MA,H-LON,9.14,78.99,same-slate-discriminator,9.14,9.02,1.01,angle-carried
MC G-RA x PA H-LON,True,MC,PA,H-LON,9.17,79.05,same-slate-discriminator,9.17,9.02,1.02,angle-carried
MC G-RA x VS H-LON,True,MC,VS,H-LON,9.16,79.03,same-slate-discriminator,9.16,9.02,1.02,angle-carried
VX G-RA x CE H-LON,True,VX,CE,H-LON,12.75,88.43,same-slate-discriminator,12.75,12.29,1.04,angle-carried
VX G-RA x JN H-LON,True,VX,JN,H-LON,12.75,88.43,same-slate-discriminator,12.75,12.29,1.04,angle-carried
VX G-RA x MA H-LON,True,VX,MA,H-LON,12.73,88.38,same-slate-discriminator,12.73,12.29,1.04,angle-carried
VX G-RA x PA H-LON,True,VX,PA,H-LON,12.75,88.42,same-slate-discriminator,12.75,12.29,1.04,angle-carried
VX G-RA x VS H-LON,True,VX,VS,H-LON,12.73,88.42,same-slate-discriminator,12.73,12.29,1.04,angle-carried
