park,tier,N,HS,LS,HS_rate,geo_AUC,angle_AUC,helio_AUC,AUC_SE
Citizens Bank Park,neutral,242,122,120,0.504,0.676,0.68,0.547,0.043
Tropicana Field,low,272,103,169,0.379,0.676,0.66,0.548,0.046
Turner Field,low,177,71,106,0.401,0.657,0.681,0.533,0.056
Great American Ball Park,high,255,148,107,0.58,0.622,0.603,0.515,0.047
Miller Park,neutral,179,90,89,0.503,0.62,0.625,0.584,0.051
U.S. Cellular Field,high,163,88,75,0.54,0.619,0.606,0.579,0.056
Citi Field,low,192,55,137,0.286,0.619,0.589,0.568,0.065
Dodger Stadium,low,286,87,199,0.304,0.611,0.594,0.525,0.052
AT&T Park,low,170,51,119,0.3,0.61,0.637,0.46,0.068
Safeco Field,low,214,64,150,0.299,0.602,0.623,0.515,0.061
Kauffman Stadium,high,284,165,119,0.581,0.601,0.626,0.52,0.045
Comerica Park,neutral,264,138,126,0.523,0.6,0.604,0.534,0.044
Nationals Park,neutral,191,80,111,0.419,0.598,0.65,0.552,0.055
Oriole Park at Camden Yards,neutral,270,143,127,0.53,0.592,0.621,0.525,0.044
PNC Park,neutral,298,126,172,0.423,0.584,0.577,0.492,0.044
Chase Field,high,215,119,96,0.553,0.564,0.537,0.545,0.051
Wrigley Field,neutral,311,150,161,0.482,0.564,0.563,0.587,0.04
Angel Stadium of Anaheim,neutral,229,98,131,0.428,0.555,0.583,0.541,0.05
Petco Park,low,239,56,183,0.234,0.531,0.516,0.484,0.067
Yankee Stadium III,neutral,175,85,90,0.486,0.527,0.512,0.423,0.054
Busch Stadium III,low,226,88,138,0.389,0.526,0.519,0.472,0.053
Fenway Park,high,299,196,103,0.656,0.518,0.515,0.477,0.049
Progressive Field,low,198,78,120,0.394,0.516,0.502,0.527,0.057
Coors Field,high,374,314,60,0.84,0.512,0.531,0.467,0.065
Minute Maid Park,low,261,106,155,0.406,0.508,0.528,0.496,0.049
Target Field,neutral,164,82,82,0.5,0.503,0.54,0.511,0.055
Rogers Centre,high,220,117,103,0.532,0.475,0.474,0.508,0.049
