category,suffix,count
code_engine,.py,1
confirmatory_gate,.lock,1
feature_separation_audit,.csv,6
feature_separation_audit,.docx,1
feature_separation_audit,.json,1
outcome_manifest,.csv,1
partition_manifest,.csv,1
ranking_package,.csv,20
ranking_package,.png,10
ranking_package,.json,2
ranking_package,.md,2
ranking_package,.txt,2
ranking_package,.py,1
ranking_package,.zip,1
registry,.csv,5
stratum_manifest,.csv,1
topology_atlas,.csv,3419
topology_atlas,.png,183
topology_atlas,.json,3
topology_atlas,.txt,3
topology_atlas,.docx,2
topology_atlas,.zip,1
uncategorized,.png,14
uncategorized,.csv,10
